GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spotifum-ats,org.Model.Playlist,Playlist,0,294,0,22,0,71,0,31,0,20
spotifum-ats,org.Model.Playlist,PlaylistRandom,4,71,2,2,0,18,2,6,0,6
spotifum-ats,org.Model.Playlist,PlaylistFavorites,2,73,1,3,0,18,1,7,0,6
spotifum-ats,org.Model.Playlist,PlaylistCreator,3,239,2,28,1,48,3,17,1,4
spotifum-ats,org.Model.Plan,PlanPremiumBase,0,34,0,0,0,15,0,9,0,9
spotifum-ats,org.Model.Plan,PlanPremiumTop,0,42,0,0,0,15,0,9,0,9
spotifum-ats,org.Model.Plan,PlanFree,0,34,0,0,0,15,0,9,0,9
spotifum-ats,org.Model.Plan,Plan,0,10,0,0,0,4,0,3,0,3
spotifum-ats,org.Model.Album,Album,0,199,0,10,0,54,0,20,0,15
spotifum-ats,org,App,20,0,0,0,6,0,2,0,2,0
spotifum-ats,org.Controller.dtos,MusicInfo,0,66,0,0,0,24,0,9,0,9
spotifum-ats,org.Model,SpotifUM,126,2382,10,76,22,353,14,123,5,89
spotifum-ats,org.Exceptions,NotFoundException,0,10,0,0,0,4,0,2,0,2
spotifum-ats,org.Exceptions,EmptyPlaylistException,0,9,0,0,0,4,0,2,0,2
spotifum-ats,org.Exceptions,AlreadyExistsException,0,10,0,0,0,4,0,2,0,2
spotifum-ats,org.Exceptions,NoPremissionException,0,10,0,0,0,4,0,2,0,2
spotifum-ats,org.Exceptions,NoArtistsInDatabaseException,0,9,0,0,0,4,0,2,0,2
spotifum-ats,org.Exceptions,NoUsersInDatabaseException,0,9,0,0,0,4,0,2,0,2
spotifum-ats,org.Exceptions,NoReproductionsInDatabaseException,0,9,0,0,0,4,0,2,0,2
spotifum-ats,org.Exceptions,NoMusicsInDatabaseException,0,9,0,0,0,4,0,2,0,2
spotifum-ats,org.View,PlanMenu,99,63,6,5,12,22,4,6,1,2
spotifum-ats,org.View,PlaylistCreationMenu,51,107,0,4,7,33,1,7,1,4
spotifum-ats,org.View,StatisticsMenu,132,143,3,14,16,45,4,13,1,4
spotifum-ats,org.View,AdminMenu,219,89,7,5,45,29,6,8,2,4
spotifum-ats,org.View,ProfileEditorMenu,79,116,0,8,9,34,1,8,1,2
spotifum-ats,org.View,ReproductionMenu.PlayerAction,0,44,0,0,0,2,0,1,0,1
spotifum-ats,org.View,PlaylistMenu,150,193,1,9,22,57,3,13,2,6
spotifum-ats,org.View,MenuManager,12,17,2,0,4,6,2,3,1,3
spotifum-ats,org.View,ReproductionMenu,574,280,69,26,140,78,50,14,6,8
spotifum-ats,org.View,MainMenu,91,66,5,4,14,19,4,5,1,2
spotifum-ats,org.View,ProfileMenu,135,5,5,0,28,2,6,1,2,1
spotifum-ats,org.View,LoginMenu,74,127,3,4,13,37,4,6,1,4
spotifum-ats,org.View,Menu,35,83,3,1,6,26,3,11,1,11
spotifum-ats,org.Model.Music,Music,1,322,1,9,0,85,1,31,0,27
spotifum-ats,org.Model.Music,MusicReproduction,0,56,0,0,0,20,0,9,0,9
spotifum-ats,org.Model.Music,MusicMultimedia,6,76,3,7,0,20,2,11,0,8
spotifum-ats,org.Model.User,User,22,621,3,61,4,147,3,63,0,34
spotifum-ats,org.Utils,BrowserOpener,14,29,1,1,3,10,1,2,0,2
spotifum-ats,org.Utils,Serialization,3,54,0,2,1,13,1,3,1,2
spotifum-ats,org.Utils,MusicPlayer,49,22,3,1,15,6,2,2,0,2
spotifum-ats,org.Controller,Controller,185,589,9,25,39,175,6,63,0,52
